term,catalog_year,prefix,number,title,description,units,sections_offered,url
Fall 2025,2025-2026,ACC,199,Special Topics,Foundations of intellectual inquiry.  In-depth study of a substantive problem.  Letter grade only.  May be repeated for a maximum of 6 units.,1-3,,https://catalog.nau.edu/Courses/course?courseId=000004&term=1257
Fall 2025,2025-2026,ACC,255,Financial Accounting For Business,"This course introduces the basic financial accounting model including analyzing business transactions and interpreting financial statements of for-profit entities. The course emphasizes using financial statements for decision making by investors, creditors, managers and other users. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=000005&term=1257
Fall 2025,2025-2026,ACC,256,Managerial Accounting For Business,Introduces the development and analysis of accounting information for managerial planning and control. Letter grade only.,3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=000006&term=1257
Fall 2025,2025-2026,ACC,300,Accounting Systems,"Introduces the function, analysis, design, and operation of accounting systems. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000010&term=1257
Fall 2025,2025-2026,ACC,302,Cost Accounting,"Introduces the compilation, analysis, and interpretation of accounting for manufacturing and service expenditures with emphasis on techniques and uses for planning, control, and decision making. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000011&term=1257
Fall 2025,2025-2026,ACC,355,Financial Reporting I,"Current accounting objectives, principles, theory, and practice in the preparation, interpretation, and analysis of general-purpose financial statements for business entities. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000015&term=1257
Fall 2025,2025-2026,ACC,356,Financial Reporting II,"Explores advanced topics in the preparation, interpretation, and analysis of general-purpose financial statements for external stakeholders. This course is a continuation of Financial Reporting I. The course will focus on accounting issues related to liabilities and shareholder equity, revenue recognition, and investments among other important financial reporting topics. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000017&term=1257
Fall 2025,2025-2026,ACC,460,Individual Taxation,"Introduces tax compliance, research, and planning strategies for individual taxpayers.  
 Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000019&term=1257
Fall 2025,2025-2026,ACC,399,Special Topics,"In-depth study of an aspect, concept, or problem within a program of study.  Letter grade only.  May be repeated for a maximum of 6 units.",1-3,,https://catalog.nau.edu/Courses/course?courseId=000021&term=1257
Fall 2025,2025-2026,ACC,402,Advanced Cost Accounting,"Emphasizes cost accounting as a highly developed device to assist in reaching objectives, stressing the planning and controlling aspects of cost accounting.  Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000023&term=1257
Fall 2025,2025-2026,ACC,408,Fieldwork Experience,Individualized supervised field experience in an appropriate agency or organization.  Cross-listed with all FCB 408s.  Pass-fail only.   May be repeated for an unlimited number of units.,1-12,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=000024&term=1257
Fall 2025,2025-2026,ACC,455,Advanced Financial Reporting,"A study of financial accounting focusing on complex large business entities. Topics covered include accounting for leases, deferred taxes, business combinations, consolidated financial statements, transactions in foreign currencies, and consolidation of foreign subsidiaries. This course includes a group project utilizing FASB Accounting Standards Codification database. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000026&term=1257
Fall 2025,2025-2026,ACC,456,Governmental And Non Profit Accounting,"Accounting theory, objectives, principles, and practice in the preparation, interpretation, and analysis of financial statements for state and local governments and nonprofit organizations. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000027&term=1257
Fall 2025,2025-2026,ACC,466,Legislative Or The Washington Center Internship,"Supervised internship in the Arizona Legislature or the Washington Center. Students are selected on a competitive basis, and you must apply the term prior to the internship. Students must meet requirements of the program to be eligible. Course enrollment is handled by the internship coordinator after selections have been made. Pass/Fail only.",1-12,,https://catalog.nau.edu/Courses/course?courseId=000029&term=1257
Fall 2025,2025-2026,ACC,480,Auditing,This course introduces audit and assurance services with a primary focus on the fundamental concepts of the audit process and applying those concepts in practical settings that require auditor judgment. The course emphasizes strategies and procedures employed by external auditors to gather audit evidence and report on a company's financial statements and internal controls over financial reporting. Letter grade only.,3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000033&term=1257
Fall 2025,2025-2026,ACC,485,Undergraduate Research,Individualized original research under the supervision of a research adviser.  Pass-fail only.  May be repeated for up to 12 units of credit.,1-6,,https://catalog.nau.edu/Courses/course?courseId=000034&term=1257
Fall 2025,2025-2026,ACC,497,Independent Study,Individualized approach to selected topics by guided reading and critical evaluation.  Department consent required. Pass/Fail only. No repeat limit. Please complete the Independent Study Proposal form and obtain signatures of approval BEFORE registering.  https://nau.edu/wp-content/uploads/sites/26/Independent_Study_Form_FINAL-3.pdf,1-6,,https://catalog.nau.edu/Courses/course?courseId=000038&term=1257
Fall 2025,2025-2026,ACC,499,Contemporary Developments,Examines recent trends and investigations in a selected area.  Letter grade only.  No repeat limit.,1-3,,https://catalog.nau.edu/Courses/course?courseId=000040&term=1257
Fall 2025,2025-2026,ACC,650,Financial Reporting And Statement Analysis,"Firm valuation models; accounting theory pertaining to financial reporting alternatives and issues; analysis of financial reporting pertaining to distress prediction, forecasting earnings and cash flows, and equity analysis.  Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000045&term=1257
Fall 2025,2025-2026,ACC,570,Taxation Of Business Entities,"Introduces tax compliance, research, and planning strategies for business entities. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000047&term=1257
Fall 2025,2025-2026,ACC,580,Advanced Auditing,"This is an advanced course in auditing and assurance services that builds on what was learned in the introductory auditing course. It covers professional ethics and responsibilities as well as the skills needed to perform auditing, attestation, and accounting and review service engagements. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000048&term=1257
Fall 2025,2025-2026,ACC,590,Current Issues In Financial Reporting,"Focuses on current issues, application of accounting standards, and cases related to financial reporting. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000050&term=1257
Fall 2025,2025-2026,ACC,599,Contemporary Developments,Examines recent trends and investigations in a selected area of a particular field of study.  May be offered no more than three times before being submitted for a permanent course number.  May be repeated for credit.  Letter grade only.,1-3,,https://catalog.nau.edu/Courses/course?courseId=000051&term=1257
